"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1659","testTitleOnDemoQA()","","Wed Apr 22 20:54:50 UTC 2026","passed","Wed Apr 22 20:54:52 UTC 2026","","com.elviraqa.PlaywrightTitleTest","com.elviraqa.PlaywrightTitleTest","testTitleOnDemoQA"
"","1788","shouldSuccessfullyEmulateIPhone12Pro()","","Wed Apr 22 20:54:59 UTC 2026","passed","Wed Apr 22 20:55:01 UTC 2026","","com.elviraqa.EmulationIPhone12ProTest","com.elviraqa.EmulationIPhone12ProTest","shouldSuccessfullyEmulateIPhone12Pro"
"","8436","shouldSuccessfullyHandleAlerts()","","Wed Apr 22 20:55:01 UTC 2026","passed","Wed Apr 22 20:55:10 UTC 2026","","com.elviraqa.DialogHandlingTest","com.elviraqa.DialogHandlingTest","shouldSuccessfullyHandleAlerts"
"","2092","shouldHandleClickWithModifiers()","","Wed Apr 22 20:54:08 UTC 2026","passed","Wed Apr 22 20:54:10 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldHandleClickWithModifiers"
"","4795","shouldSuccessfullyLoginWithCorrectUsernameAndPassword()","","Wed Apr 22 20:54:45 UTC 2026","passed","Wed Apr 22 20:54:50 UTC 2026","","com.elviraqa.LoginTest","com.elviraqa.LoginTest","shouldSuccessfullyLoginWithCorrectUsernameAndPassword"
"","31784","shouldDisplayCascadingSubMenuOnHover()","","Wed Apr 22 20:54:10 UTC 2026","broken","Wed Apr 22 20:54:42 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldDisplayCascadingSubMenuOnHover"
"","3396","shouldSuccessfullySubmitRegistrationForm()","","Wed Apr 22 20:55:15 UTC 2026","passed","Wed Apr 22 20:55:18 UTC 2026","","com.elviraqa.RegistrationFormTest","com.elviraqa.RegistrationFormTest","shouldSuccessfullySubmitRegistrationForm"
"","2219","shouldSuccessfullySubmitFormData(FormData) Form test: FormData[fullName=Anna Smith, email=anna@example.com, currentAddress=Baker Street 221B, permanentAddress=Red Street 250]","","Wed Apr 22 20:55:12 UTC 2026","passed","Wed Apr 22 20:55:15 UTC 2026","","com.elviraqa.FormDataSubmitParameterizedTest","com.elviraqa.FormDataSubmitParameterizedTest","shouldSuccessfullySubmitFormData"
"","3557","testLoginWithScreenshots()","","Wed Apr 22 20:54:55 UTC 2026","passed","Wed Apr 22 20:54:58 UTC 2026","","com.elviraqa.AllureReportingTest","com.elviraqa.AllureReportingTest","testLoginWithScreenshots"
"","1912","shouldDisplayInTableDataReturnedByBooksApi()","","Wed Apr 22 20:54:52 UTC 2026","passed","Wed Apr 22 20:54:54 UTC 2026","","com.elviraqa.NetworkInterceptionTest","com.elviraqa.NetworkInterceptionTest","shouldDisplayInTableDataReturnedByBooksApi"
"","1930","shouldSuccessfullyDownloadFile()","","Wed Apr 22 20:54:43 UTC 2026","passed","Wed Apr 22 20:54:45 UTC 2026","","com.elviraqa.FileDownloadTest","com.elviraqa.FileDownloadTest","shouldSuccessfullyDownloadFile"
"","2235","shouldSuccessfullySubmitFormData(FormData) Form test: FormData[fullName=Peter Parker, email=peter@test.com, currentAddress=Dogs Street 5A, permanentAddress=Cats Street 6B]","","Wed Apr 22 20:55:10 UTC 2026","passed","Wed Apr 22 20:55:12 UTC 2026","","com.elviraqa.FormDataSubmitParameterizedTest","com.elviraqa.FormDataSubmitParameterizedTest","shouldSuccessfullySubmitFormData"
"","2494","shouldSelectMultipleCheckboxes()","","Wed Apr 22 20:54:06 UTC 2026","passed","Wed Apr 22 20:54:08 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldSelectMultipleCheckboxes"
